image_path,n,n0,n1,B0min,B0mean,B1min,B1mean,D1mean,P1mean,P1max,dim0_n30,dim0_n60,dim0_n90,dim0_n120,dim0_n150,dim0_n180,dim0_n210,dim0_n240,dim0_nlarger,dim0_P10,dim1_n30,dim1_n60,dim1_n90,dim1_n120,dim1_n150,dim1_n180,dim1_n210,dim1_n240,dim1_nlarger,dim1_P10,C0_dim0_1,C0_dim0_2,C0_dim0_3,C0_dim0_4,C0_dim0_5,C0_dim0_6,C0_dim0_7,C0_dim0_8,C0_dim0_9,C0_dim0_10,C0_dim0_11,C0_dim0_12,C0_dim0_13,C0_dim0_14,C0_dim0_15,C0_dim0_16,C0_dim0_17,C0_dim0_18,C0_dim0_19,C0_dim0_20,C0_dim0_21,C0_dim0_22,C0_dim0_23,C0_dim0_24,C0_dim0_25,C0_dim1_1,C0_dim1_2,C0_dim1_3,C0_dim1_4,C0_dim1_5,C0_dim1_6,C0_dim1_7,C0_dim1_8,C0_dim1_9,C0_dim1_10,C0_dim1_11,C0_dim1_12,C0_dim1_13,C0_dim1_14,C0_dim1_15,C0_dim1_16,C0_dim1_17,C0_dim1_18,C0_dim1_19,C0_dim1_20,C0_dim1_21,C0_dim1_22,C0_dim1_23,C0_dim1_24,C0_dim1_25,label
benign/us1.bmp,715,317,398,0,52.31230284,24,83.11055276,92.02512563,8.914572864,78,59,157,74,21,6,0,0,0,0,116,4,81,174,97,40,2,0,0,0,125,4.4675,1.7669,0.1318,0.0,0.0,0.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3472,3.7518,1.5978,0.0,0.0,0.0,0.4081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
benign/us2.bmp,690,304,386,0,54.09868421,21,81.69430052,90.4119171,8.71761658,81,50,146,84,20,4,0,0,0,0,108,3,75,189,81,34,4,0,0,0,114,3.0443,2.6163,0.0671,0.0,0.0,0.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,3.3668,1.7216,0.0,0.0,0.0,0.3851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
benign/us3.bmp,716,313,403,0,51.50479233,30,84.25806452,93.27791563,9.019851117,93,59,157,74,21,2,0,0,0,0,140,1,76,183,91,48,4,0,0,0,130,6.4682,2.334,0.1943,0.0,0.0,0.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5469,3.0546,1.3933,0.0173,0.0,0.0,0.6316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
benign/us4.bmp,678,311,367,0,52.82636656,29,81.84196185,91.29427793,9.452316076,97,55,152,80,23,1,0,0,0,0,124,2,78,170,78,36,3,0,0,0,123,4.7429,2.6269,0.024,0.0,0.0,0.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5054,3.2947,0.9502,0.0213,0.0,0.0,0.4791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
benign/us5.bmp,699,330,369,0,50.88181818,29,82.78319783,92.37127371,9.588075881,97,72,150,89,17,2,0,0,0,0,117,1,74,173,77,42,2,0,0,0,131,3.5563,2.8332,0.0274,0.0,0.0,0.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6124,3.7811,1.1129,0.0,0.0,0.0,0.4825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
benign/us6.bmp,576,247,329,0,39.44534413,0,64.25531915,74.68389058,10.42857143,72,91,118,33,5,0,0,0,0,0,85,37,94,149,45,4,0,0,0,0,107,3.9099,0.9354,0.0,0.0,0.0,0.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.265,4.0899,0.4732,0.0,0.0,0.221,0.6764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
benign/us7.bmp,601,253,348,0,40.45849802,0,65.50862069,75.20689655,9.698275862,66,90,113,48,2,0,0,0,0,0,67,42,86,161,57,2,0,0,0,0,107,3.5882,0.8909,0.0,0.0,0.0,0.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0809,4.4297,0.4428,0.0,0.0,0.2701,0.8798,0.1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
benign/us8.bmp,590,243,347,0,41.30864198,0,65.76080692,75.63112392,9.870317003,78,87,98,58,0,0,0,0,0,0,76,38,95,156,56,2,0,0,0,0,120,3.4794,0.8733,0.0,0.0,0.0,0.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0661,4.5855,0.2388,0.0,0.0,0.3224,0.6326,0.1102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
benign/us9.bmp,607,263,344,0,42.42965779,0,65.81104651,75.67151163,9.860465116,80,85,121,54,3,0,0,0,0,0,76,40,91,151,61,1,0,0,0,0,123,3.1393,1.0579,0.0,0.0,0.0,0.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2978,4.2955,0.308,0.0,0.0,0.3025,0.4059,0.1074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
benign/us10.bmp,576,245,331,0,42.37142857,0,67.32930514,77.31722054,9.987915408,67,76,111,56,2,0,0,0,0,0,79,39,87,123,81,1,0,0,0,0,116,4.1055,1.1681,0.0,0.0,0.0,0.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0783,5.0006,0.6004,0.0,0.0,0.1235,0.4371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
benign/us11.bmp,644,274,370,0,61.68248175,0,87.63513514,97.18648649,9.551351351,71,32,103,96,36,7,0,0,0,0,68,14,73,98,129,52,4,0,0,0,116,1.5076,1.8615,0.2055,0.0,0.0,0.3068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1577,3.288,2.9378,0.0,0.0,0.0,0.2825,0.3945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
