image_path,n,n0,n1,B0min,B0mean,B1min,B1mean,D1mean,P1mean,P1max,dim0_n30,dim0_n60,dim0_n90,dim0_n120,dim0_n150,dim0_n180,dim0_n210,dim0_n240,dim0_nlarger,dim0_P10,dim1_n30,dim1_n60,dim1_n90,dim1_n120,dim1_n150,dim1_n180,dim1_n210,dim1_n240,dim1_nlarger,dim1_P10,label
benign/us1.bmp,715,317,398,0,52.31230284,24,83.11055276,92.02512563,8.914572864,78,59,157,74,21,6,0,0,0,0,116,4,81,174,97,40,2,0,0,0,125,0
benign/us2.bmp,690,304,386,0,54.09868421,21,81.69430052,90.4119171,8.71761658,81,50,146,84,20,4,0,0,0,0,108,3,75,189,81,34,4,0,0,0,114,0
benign/us3.bmp,716,313,403,0,51.50479233,30,84.25806452,93.27791563,9.019851117,93,59,157,74,21,2,0,0,0,0,140,1,76,183,91,48,4,0,0,0,130,0
benign/us4.bmp,678,311,367,0,52.82636656,29,81.84196185,91.29427793,9.452316076,97,55,152,80,23,1,0,0,0,0,124,2,78,170,78,36,3,0,0,0,123,0
benign/us5.bmp,699,330,369,0,50.88181818,29,82.78319783,92.37127371,9.588075881,97,72,150,89,17,2,0,0,0,0,117,1,74,173,77,42,2,0,0,0,131,0
benign/us6.bmp,576,247,329,0,39.44534413,0,64.25531915,74.68389058,10.42857143,72,91,118,33,5,0,0,0,0,0,85,37,94,149,45,4,0,0,0,0,107,0
benign/us7.bmp,601,253,348,0,40.45849802,0,65.50862069,75.20689655,9.698275862,66,90,113,48,2,0,0,0,0,0,67,42,86,161,57,2,0,0,0,0,107,0
benign/us8.bmp,590,243,347,0,41.30864198,0,65.76080692,75.63112392,9.870317003,78,87,98,58,0,0,0,0,0,0,76,38,95,156,56,2,0,0,0,0,120,0
benign/us9.bmp,607,263,344,0,42.42965779,0,65.81104651,75.67151163,9.860465116,80,85,121,54,3,0,0,0,0,0,76,40,91,151,61,1,0,0,0,0,123,0
benign/us10.bmp,576,245,331,0,42.37142857,0,67.32930514,77.31722054,9.987915408,67,76,111,56,2,0,0,0,0,0,79,39,87,123,81,1,0,0,0,0,116,0
benign/us11.bmp,644,274,370,0,61.68248175,0,87.63513514,97.18648649,9.551351351,71,32,103,96,36,7,0,0,0,0,68,14,73,98,129,52,4,0,0,0,116,0
benign/us12.bmp,656,273,383,0,58.87912088,0,87.7232376,97.55091384,9.82767624,69,42,108,88,27,8,0,0,0,0,91,15,80,95,138,54,1,0,0,0,138,0
benign/us13.bmp,689,291,398,0,59.01718213,0,89.27135678,98.80904523,9.537688442,72,49,107,96,33,6,0,0,0,0,94,15,75,96,143,64,5,0,0,0,129,0
benign/us14.bmp,640,275,365,0,60.46545455,0,90.63835616,99.6109589,8.97260274,77,45,94,93,37,6,0,0,0,0,75,15,59,92,123,73,3,0,0,0,116,0
benign/us15.bmp,634,270,364,0,62.18518519,0,90.34065934,99.49450549,9.153846154,85,35,92,97,38,8,0,0,0,0,79,16,60,100,107,72,9,0,0,0,118,0
benign/us16.bmp,696,277,419,0,67.92057762,0,98.55608592,109.522673,10.96658711,89,26,83,106,56,6,0,0,0,0,94,22,36,76,176,89,20,0,0,0,162,0
benign/us17.bmp,727,307,420,0,66.75570033,0,95.98333333,107.0452381,11.06190476,85,19,110,116,60,2,0,0,0,0,97,24,35,80,192,76,13,0,0,0,166,0
benign/us18.bmp,731,292,439,0,67.30136986,0,93.8929385,104.594533,10.70159453,96,15,108,110,54,5,0,0,0,0,100,26,30,109,188,82,4,0,0,0,161,0
benign/us19.bmp,718,284,434,0,66.73591549,0,92.70046083,103.1797235,10.47926267,101,20,97,116,47,4,0,0,0,0,90,25,39,99,186,81,4,0,0,0,150,0
benign/us20.bmp,725,287,438,0,66.66550523,0,92.65981735,102.9703196,10.31050228,105,26,98,104,54,5,0,0,0,0,100,23,39,104,194,75,3,0,0,0,151,0
benign/us21.bmp,569,271,298,21,59.65682657,36,84.71812081,93.04026846,8.322147651,59,9,132,119,11,0,0,0,0,0,92,0,35,159,92,10,2,0,0,0,91,0
benign/us22.bmp,615,291,324,10,59.34364261,37,85.08333333,93.39814815,8.314814815,62,15,141,120,15,0,0,0,0,0,105,0,40,169,99,15,1,0,0,0,105,0
benign/us23.bmp,609,289,320,15,59.50865052,33,85.55,93.759375,8.209375,59,22,133,115,19,0,0,0,0,0,99,0,41,146,118,15,0,0,0,0,96,0
benign/us24.bmp,577,279,298,15,61.81362007,31,86.7147651,95.29865772,8.583892617,63,14,115,126,24,0,0,0,0,0,100,0,37,124,124,13,0,0,0,0,94,0
benign/us25.bmp,604,285,319,18,62.21403509,32,89.99059561,98.57680251,8.586206897,59,17,109,134,25,0,0,0,0,0,99,0,24,138,133,22,2,0,0,0,95,0
benign/us26.bmp,618,265,353,0,39.69056604,4,65.3427762,75.17280453,9.830028329,98,122,88,42,10,3,0,0,0,0,80,45,132,96,51,27,2,0,0,0,110,0
benign/us27.bmp,630,274,356,0,41.09489051,4,66.70505618,76.1994382,9.494382022,106,119,93,43,17,2,0,0,0,0,64,45,135,90,54,26,6,0,0,0,108,0
benign/us28.bmp,608,262,346,0,41.04961832,2,65.88439306,75.4132948,9.528901734,111,111,89,45,15,2,0,0,0,0,70,45,136,74,60,28,3,0,0,0,103,0
benign/us29.bmp,613,252,361,0,41.28968254,2,71.22160665,80.56786704,9.346260388,102,112,85,30,22,3,0,0,0,0,74,40,120,91,73,31,6,0,0,0,103,0
benign/us30.bmp,618,258,360,0,40.86821705,4,66.34444444,75.58055556,9.236111111,80,114,84,36,19,5,0,0,0,0,70,52,140,82,50,29,7,0,0,0,100,0
benign/us31.bmp,756,348,408,0,48.48563218,13,77.42892157,86.81127451,9.382352941,61,54,206,86,2,0,0,0,0,0,118,16,51,239,93,8,1,0,0,0,141,0
benign/us32.bmp,728,343,385,0,47.43731778,15,78.48571429,88.05194805,9.566233766,61,52,215,76,0,0,0,0,0,0,128,11,42,231,94,6,1,0,0,0,128,0
benign/us33.bmp,728,334,394,0,48.06886228,16,77.29187817,86.58121827,9.289340102,61,50,212,69,3,0,0,0,0,0,133,13,37,253,84,7,0,0,0,0,125,0
benign/us34.bmp,728,348,380,0,48.72126437,20,77.66842105,87.37894737,9.710526316,65,48,216,80,4,0,0,0,0,0,116,10,47,236,82,5,0,0,0,0,131,0
benign/us35.bmp,725,337,388,0,48.66765579,16,78.33762887,87.85824742,9.520618557,65,43,216,77,1,0,0,0,0,0,127,7,52,240,83,6,0,0,0,0,129,0
benign/us36.bmp,635,315,320,0,50.59047619,20,86.084375,96.84375,10.759375,68,93,106,97,17,2,0,0,0,0,105,14,65,76,115,48,2,0,0,0,112,0
benign/us37.bmp,619,293,326,0,50.96928328,23,86.27300613,96.31595092,10.04294479,69,85,96,88,24,0,0,0,0,0,95,16,67,80,116,44,3,0,0,0,115,0
benign/us38.bmp,620,286,334,0,51.07692308,25,85.21257485,95.05988024,9.847305389,70,82,100,80,24,0,0,0,0,0,93,15,71,84,121,38,5,0,0,0,113,0
