image_path,C0_dim0_1,C0_dim0_2,C0_dim0_3,C0_dim0_4,C0_dim0_5,C0_dim0_6,C0_dim0_7,C0_dim0_8,C0_dim0_9,C0_dim0_10,C0_dim0_11,C0_dim0_12,C0_dim0_13,C0_dim0_14,C0_dim0_15,C0_dim0_16,C0_dim0_17,C0_dim0_18,C0_dim0_19,C0_dim0_20,C0_dim0_21,C0_dim0_22,C0_dim0_23,C0_dim0_24,C0_dim0_25,C1_dim0_1,C1_dim0_2,C1_dim0_3,C1_dim0_4,C1_dim0_5,C1_dim0_6,C1_dim0_7,C1_dim0_8,C1_dim0_9,C1_dim0_10,C1_dim0_11,C1_dim0_12,C1_dim0_13,C1_dim0_14,C1_dim0_15,C1_dim0_16,C1_dim0_17,C1_dim0_18,C1_dim0_19,C1_dim0_20,C1_dim0_21,C1_dim0_22,C1_dim0_23,C1_dim0_24,C1_dim0_25,C2_dim0_1,C2_dim0_2,C2_dim0_3,C2_dim0_4,C2_dim0_5,C2_dim0_6,C2_dim0_7,C2_dim0_8,C2_dim0_9,C2_dim0_10,C2_dim0_11,C2_dim0_12,C2_dim0_13,C2_dim0_14,C2_dim0_15,C2_dim0_16,C2_dim0_17,C2_dim0_18,C2_dim0_19,C2_dim0_20,C2_dim0_21,C2_dim0_22,C2_dim0_23,C2_dim0_24,C2_dim0_25,C0_dim1_1,C0_dim1_2,C0_dim1_3,C0_dim1_4,C0_dim1_5,C0_dim1_6,C0_dim1_7,C0_dim1_8,C0_dim1_9,C0_dim1_10,C0_dim1_11,C0_dim1_12,C0_dim1_13,C0_dim1_14,C0_dim1_15,C0_dim1_16,C0_dim1_17,C0_dim1_18,C0_dim1_19,C0_dim1_20,C0_dim1_21,C0_dim1_22,C0_dim1_23,C0_dim1_24,C0_dim1_25,C1_dim1_1,C1_dim1_2,C1_dim1_3,C1_dim1_4,C1_dim1_5,C1_dim1_6,C1_dim1_7,C1_dim1_8,C1_dim1_9,C1_dim1_10,C1_dim1_11,C1_dim1_12,C1_dim1_13,C1_dim1_14,C1_dim1_15,C1_dim1_16,C1_dim1_17,C1_dim1_18,C1_dim1_19,C1_dim1_20,C1_dim1_21,C1_dim1_22,C1_dim1_23,C1_dim1_24,C1_dim1_25,C2_dim1_1,C2_dim1_2,C2_dim1_3,C2_dim1_4,C2_dim1_5,C2_dim1_6,C2_dim1_7,C2_dim1_8,C2_dim1_9,C2_dim1_10,C2_dim1_11,C2_dim1_12,C2_dim1_13,C2_dim1_14,C2_dim1_15,C2_dim1_16,C2_dim1_17,C2_dim1_18,C2_dim1_19,C2_dim1_20,C2_dim1_21,C2_dim1_22,C2_dim1_23,C2_dim1_24,C2_dim1_25,label
01_TUMOR/tumor (1).tif,5.0206,3.2035,0.6291,0.12,0.0438,0.4738,0.1022,0.0844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6233,41.8618,29.5973,5.2693,2.6215,0.0,15.7462,5.9712,1.49,0.0,0.0,4.3682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5825,0.0191,0.0478,0.0,0.0,0.0,0.0812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0452,4.6216,0.925,0.0995,0.5671,7.0227,2.1387,0.8356,0.0,0.0,0.0,1.3429,0.0,0.0,0.0,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7994,1.3157,0.1235,0.0357,0.0,0.0,0.0812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5242,62.4065,4.9522,0.7036,0.9918,0.0,12.3862,0.0,0.7612,0.0,0.0,2.7794,1.4301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
01_TUMOR/tumor (2).tif,1.8305,1.9521,2.6806,0.0813,0.039,0.2702,0.4443,0.262,0.0,0.0,0.4231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.238,23.4969,29.4499,10.5432,0.0,0.8996,6.7989,26.0536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5198,0.113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4404,7.6814,0.2937,0.1326,1.3049,0.0,2.1695,0.0,1.1178,0.0,0.0,2.3968,0.0,0.0,0.0,0.0,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0953,1.2042,0.0828,0.0,0.0162,0.1234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6578,30.9492,4.3201,1.6663,1.3839,0.0,0.6217,3.668,0.0,0.0,0.0,1.3677,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
01_TUMOR/tumor (3).tif,3.4749,7.6318,1.0477,0.083,0.0195,1.984,0.5126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1467,27.8103,68.2642,14.5533,1.9189,0.0,15.2946,22.8122,1.6141,0.0,0.0,2.3253,11.7053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3246,0.1544,0.0,0.0,0.0159,0.1115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2485,34.1676,3.6703,0.6087,0.0,13.5413,5.3398,0.6523,0.0,0.0,6.3663,1.1741,0.8784,0.0,0.0,6.0121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4364,6.7298,0.1627,0.0,0.0,0.3628,0.1253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1265,51.162,37.1157,3.3833,0.3794,0.0,22.5242,5.5652,0.5902,0.0,0.0,7.7949,0.0,0.0,0.0,0.0,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
01_TUMOR/tumor (4).tif,3.0989,3.0541,0.6108,0.0388,0.0,0.2679,0.1033,0.0,0.0,0.0,0.1727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3624,50.1908,32.1019,7.8384,1.1977,0.0,4.8062,0.8982,1.2134,0.0,0.0,0.0,0.0,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3451,0.2477,0.0272,0.0,0.0,0.1166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5276,24.2548,2.8742,0.6889,0.3444,0.0,0.6057,1.639,0.0,0.0,0.0,0.0,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0295,5.4496,0.3988,0.0509,0.0,0.0,0.215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.9945,47.1077,4.3942,1.211,0.0,0.0,0.9342,3.5769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
01_TUMOR/tumor (5).tif,2.1257,4.8219,2.023,0.2172,0.0947,1.1062,0.8562,0.2434,0.1095,0.0,0.4019,0.1732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5148,34.4328,12.5788,5.6404,0.0,6.6548,6.7613,4.1339,0.0,0.0,0.0,5.3727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0517,3.0138,0.5096,0.172,0.0611,1.0801,0.2202,0.254,0.1013,0.0,0.3441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6749,38.7981,12.19,3.6891,1.1285,0.54,5.3503,2.6904,0.5779,0.0,0.0,2.5579,3.259,0.0,0.0,0.0,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7107,4.5113,0.4163,0.1613,0.0,1.7214,0.3929,0.0957,0.0,0.0,0.3626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.631,59.4751,29.036,8.0888,0.0,0.0,6.9411,5.4981,0.0,0.0,0.0,2.9463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
01_TUMOR/tumor (6).tif,6.1277,4.4656,0.2371,0.0406,0.0,2.4746,0.1965,0.0958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5523,30.4324,48.5623,8.0627,1.217,0.0,15.688,26.4266,1.732,0.0,0.0,9.4557,9.2404,0.0,0.0,0.0,3.1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6814,0.2249,0.0,0.0319,0.0,0.0813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5381,38.0254,5.0136,0.2309,0.0,8.5084,21.8901,0.503,0.9978,0.0,6.2012,3.6697,0.0,0.0,0.0,6.8943,2.7708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998,10.208,0.2202,0.0199,0.0,0.5559,0.3474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1225,72.3426,6.7918,1.0768,0.0,4.8098,27.8364,1.2505,0.0,0.0,3.5655,9.7975,0.0,0.0,0.0,0.0,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
01_TUMOR/tumor (7).tif,4.1672,2.4899,0.4219,0.2085,0.0,0.6728,0.0,0.0,0.0,0.0,0.3721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2436,32.462,19.299,6.2792,4.4675,0.0,9.4471,7.4087,3.2669,0.0,0.0,3.602,2.2523,0.0,0.0,0.0,4.6071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8301,0.07,0.0,0.0159,0.0,0.1767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7151,4.5034,1.2733,0.645,0.3434,3.4428,1.1978,2.915,0.4272,0.0,4.3557,2.0271,0.8963,0.0,0.0,4.4312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1693,1.1041,0.1566,0.0258,0.0,0.1098,0.0839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8912,42.069,3.6151,2.8687,1.0793,0.0,6.192,4.0981,1.4581,0.0,0.0,8.4534,1.0102,0.0,0.0,0.0,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
01_TUMOR/tumor (8).tif,4.5004,0.9176,1.2768,0.1104,0.0715,0.0,0.1056,0.0812,0.0,0.0,0.0,0.1803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7548,25.5848,8.7854,8.9892,7.3939,0.0,7.2706,3.4577,4.1563,0.0,0.0,1.3282,4.2364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0507,0.0605,0.0271,0.0414,0.0,0.1385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8281,3.7721,0.351,0.7346,1.1847,0.6121,0.9549,0.0,0.0,0.0,0.0,0.9468,0.0,0.0,0.0,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9131,0.732,0.068,0.0178,0.0486,0.1473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7922,12.7157,2.6312,0.9568,1.9946,1.7848,1.794,0.0,0.0,0.0,0.0,1.3156,0.0,0.0,0.0,0.0,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
01_TUMOR/tumor (9).tif,3.022,4.9893,2.3884,0.2914,0.1334,1.2336,0.524,0.1595,0.096,0.0,0.7437,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.001,56.4854,35.3501,8.0246,0.0,17.2335,25.9946,12.546,0.0,0.0,2.5862,11.1282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.496,0.3341,0.0955,0.0,0.0,0.0987,0.0,0.0,0.0,0.0,0.0,0.2228,0.0,0.0,0.0,0.2801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8439,43.256,5.5966,1.3703,0.39,14.0051,9.6336,2.8142,0.0,0.0,1.0856,9.0538,0.0,0.0,0.0,0.0,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7946,6.387,0.5944,0.0179,0.0163,0.397,0.0,0.0,0.0,0.0,0.0,0.236,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2808,53.1689,37.9841,6.897,1.0882,0.0,20.7693,11.3633,1.1936,0.0,0.0,1.5915,2.5161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
01_TUMOR/tumor (10).tif,4.4824,3.2577,0.4432,0.1761,0.1649,0.9502,0.2617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3393,0.0,0.0,0.0,0.0,0.2151,45.0217,30.6805,8.9472,21.1329,0.0,19.2928,6.1272,5.0185,0.0,0.0,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9929,0.1339,0.0637,0.0366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9521,4.2142,1.7498,1.3189,1.2585,1.3893,1.9872,0.5276,1.1519,0.0,0.0,2.0049,0.0,0.0,0.0,0.0,1.5915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5473,1.2117,0.1223,0.1287,0.0177,0.0837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4218,44.7716,6.0434,1.5137,6.7193,0.0,2.3261,3.6616,0.601,0.5787,0.0,0.0,2.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
