image_path,n,n0,n1,B0min,B0mean,B1min,B1mean,D1mean,P1mean,P1max,dim0_n30,dim0_n60,dim0_n90,dim0_n120,dim0_n150,dim0_n180,dim0_n210,dim0_n240,dim0_nlarger,dim0_P10,dim1_n30,dim1_n60,dim1_n90,dim1_n120,dim1_n150,dim1_n180,dim1_n210,dim1_n240,dim1_nlarger,dim1_P10,n,n0,n1,B0min,B0mean,B1min,B1mean,D1mean,P1mean,P1max,dim0_n30,dim0_n60,dim0_n90,dim0_n120,dim0_n150,dim0_n180,dim0_n210,dim0_n240,dim0_nlarger,dim0_P10,dim1_n30,dim1_n60,dim1_n90,dim1_n120,dim1_n150,dim1_n180,dim1_n210,dim1_n240,dim1_nlarger,dim1_P10,n,n0,n1,B0min,B0mean,B1min,B1mean,D1mean,P1mean,P1max,dim0_n30,dim0_n60,dim0_n90,dim0_n120,dim0_n150,dim0_n180,dim0_n210,dim0_n240,dim0_nlarger,dim0_P10,dim1_n30,dim1_n60,dim1_n90,dim1_n120,dim1_n150,dim1_n180,dim1_n210,dim1_n240,dim1_nlarger,dim1_P10,label
01_TUMOR/tumor (1).tif,1798,781,1017,19.0,74.78361075544174,41.0,110.15044247787611,121.46509341199607,11.31465093411996,141.0,11,352,231,78,65,28,11,5,0,254,0,53,329,318,164,74,44,32,3,347,2155,986,1169,0.0,17.027383367139958,8.0,36.96834901625321,44.75449101796407,7.786142001710864,160.0,857,111,11,6,1,0,0,0,0,158,627,427,66,22,7,2,4,14,0,276,1964,882,1082,20.0,55.404761904761905,34.0,79.85489833641405,88.46025878003697,8.60536044362292,138.0,27,611,182,40,15,4,3,0,0,189,0,268,575,149,46,18,6,20,0,297,1
01_TUMOR/tumor (10).tif,1679,749,930,15.0,90.83978638184246,24.0,136.53010752688172,148.28494623655914,11.754838709677419,111.0,34,295,183,89,19,14,14,101,0,251,3,47,231,220,118,51,47,162,51,347,2019,918,1101,0.0,30.83769063180828,8.0,61.702089009990914,68.89645776566758,7.194368755676658,181.0,774,59,10,7,1,5,3,59,0,139,546,303,54,20,15,5,16,142,0,229,1811,820,991,11.0,67.66829268292683,26.0,101.42179616548941,109.5832492431887,8.161453077699294,143.0,42,522,142,19,15,6,6,68,0,180,1,234,446,70,40,28,14,158,0,268,1
01_TUMOR/tumor (100).tif,1904,828,1076,17.0,77.15700483091787,44.0,113.7639405204461,123.71747211895911,9.953531598513012,125.0,4,278,318,175,30,13,10,0,0,281,0,27,293,383,198,89,65,21,0,363,2194,984,1210,0.0,22.98882113821138,5.0,46.71818181818182,54.82396694214876,8.105785123966943,128.0,755,204,15,10,0,0,0,0,0,202,360,650,95,52,27,19,6,1,0,304,2099,928,1171,28.0,71.99353448275862,51.0,99.32109308283519,107.61656703672075,8.295473953885567,111.0,1,272,548,78,20,8,1,0,0,235,0,22,554,389,102,59,39,6,0,317,1
01_TUMOR/tumor (101).tif,1351,592,759,21.0,86.3766891891892,38.0,136.09617918313572,147.46245059288538,11.36627140974967,182.0,29,293,102,41,20,23,11,72,1,186,0,85,231,77,77,56,29,138,66,275,1725,789,936,0.0,25.314321926489228,9.0,56.238247863247864,62.6965811965812,6.458333333333333,221.0,690,36,12,5,1,2,7,36,0,78,584,149,42,17,7,7,12,118,0,141,1513,687,826,17.0,56.617176128093156,33.0,96.61985472154964,104.00121065375302,7.38135593220339,202.0,91,479,33,26,7,2,9,40,0,109,0,412,155,50,26,11,16,156,0,168,1
01_TUMOR/tumor (102).tif,1821,780,1041,20.0,77.28461538461538,32.0,122.47358309317964,135.0922190201729,12.618635926993276,152.0,23,292,203,183,52,11,9,7,0,293,0,28,191,342,290,83,56,51,0,397,1890,843,1047,1.0,35.62277580071174,11.0,70.01337153772684,81.33333333333333,11.319961795606496,164.0,419,341,60,9,4,6,0,4,0,233,72,459,345,65,33,29,18,26,0,373,1992,871,1121,33.0,89.95866819747417,47.0,124.53702051739518,135.00892060660124,10.471900089206066,127.0,0,85,419,273,61,12,14,7,0,267,0,2,107,541,280,83,63,45,0,383,1
01_TUMOR/tumor (103).tif,2035,861,1174,21.0,74.36469221835075,51.0,115.8313458262351,128.79045996592845,12.959114139693357,144.0,12,316,308,179,29,6,4,7,0,349,0,17,257,443,328,66,20,36,7,467,2154,919,1235,9.0,45.47986942328618,23.0,79.09311740890688,90.69068825910931,11.597570850202429,154.0,265,472,158,12,3,2,0,7,0,321,9,343,584,214,37,8,12,28,0,459,2221,957,1264,44.0,100.0626959247649,79.0,133.67958860759492,145.1503164556962,11.470727848101266,121.0,0,9,339,461,128,7,4,9,0,349,0,0,40,353,647,149,29,45,1,483,1
01_TUMOR/tumor (104).tif,1712,734,978,15.0,64.44686648501363,31.0,104.73312883435582,117.06646216768917,12.333333333333334,156.0,29,336,263,85,11,6,3,1,0,249,0,66,296,378,148,46,21,21,2,359,2055,913,1142,1.0,22.799561883899234,9.0,47.46935201401051,56.76707530647986,9.297723292469351,194.0,721,173,11,4,1,2,0,1,0,183,269,664,150,28,9,6,7,9,0,327,1915,834,1081,28.0,71.3189448441247,38.0,99.45975948196114,109.08695652173913,9.627197039777982,150.0,4,244,481,91,11,2,1,0,0,209,0,14,421,507,88,25,10,16,0,340,1
01_TUMOR/tumor (105).tif,1727,718,1009,17.0,63.59610027855153,30.0,110.27056491575817,124.09316154608523,13.822596630327057,145.0,81,340,180,66,27,10,9,5,0,273,1,99,299,254,187,69,59,34,7,411,2277,1025,1252,0.0,14.049756097560975,6.0,36.0111821086262,44.45766773162939,8.446485623003195,192.0,944,68,3,6,2,2,0,0,0,162,709,396,84,24,23,11,2,3,0,317,1936,850,1086,17.0,49.358823529411765,28.0,78.76979742173113,88.46777163904235,9.697974217311234,161.0,112,554,148,20,11,4,1,0,0,215,3,366,441,165,57,40,11,3,0,327,1
01_TUMOR/tumor (106).tif,2055,878,1177,21.0,101.37813211845102,41.0,144.98300764655906,157.1894647408666,12.206457094307561,144.0,15,154,158,297,168,38,34,14,0,331,0,21,101,227,360,217,100,148,3,466,2144,939,1205,2.0,41.92758253461129,12.0,80.76016597510373,91.2149377593361,10.454771784232365,163.0,349,434,98,35,13,6,2,2,0,268,80,490,307,124,52,47,55,50,0,392,2237,980,1257,31.0,95.06020408163265,56.0,131.01909307875894,141.15433571996817,10.135242641209228,132.0,0,95,400,334,92,32,16,11,0,302,0,2,145,502,277,135,108,88,0,409,1
01_TUMOR/tumor (107).tif,1858,822,1036,20.0,76.18369829683698,45.0,121.93050193050193,137.16602316602317,15.235521235521235,171.0,15,308,272,130,72,15,3,7,0,342,0,10,200,362,276,101,45,40,2,436,2053,945,1108,4.0,34.81164021164021,14.0,65.99909747292419,78.4918772563177,12.492779783393502,175.0,497,361,69,10,5,0,2,1,0,278,32,587,335,85,30,13,7,19,0,396,2070,936,1134,31.0,87.19551282051282,47.0,121.01675485008818,133.09171075837742,12.074955908289242,143.0,0,66,523,280,48,8,4,7,0,320,0,3,74,616,297,79,27,38,0,428,1
01_TUMOR/tumor (108).tif,2102,886,1216,17.0,84.59480812641084,28.0,129.3922697368421,144.6702302631579,15.27796052631579,172.0,36,285,154,224,154,28,0,5,0,386,1,21,176,286,398,248,54,32,0,574,2317,1007,1310,1.0,34.01191658391261,9.0,66.34809160305343,78.87557251908397,12.527480916030534,167.0,511,398,77,14,2,0,1,4,0,303,92,539,472,131,41,15,2,18,0,515,2313,994,1319,29.0,85.43259557344065,36.0,119.99090219863533,132.60197119029567,12.611068991660348,129.0,2,163,425,340,50,10,1,3,0,355,0,5,159,609,382,121,18,25,0,560,1
01_TUMOR/tumor (109).tif,1760,761,999,19.0,64.80946123521682,34.0,113.89989989989989,129.35735735735736,15.457457457457457,175.0,55,381,198,77,25,11,10,4,0,307,0,78,284,279,156,83,71,43,5,434,2271,1053,1218,0.0,15.217473884140551,6.0,38.35221674876847,48.17159277504105,9.819376026272579,189.0,956,79,9,7,2,0,0,0,0,175,648,397,94,42,22,10,1,4,0,336,1965,879,1086,18.0,51.26848691695108,35.0,79.95580110497238,91.07550644567219,11.119705340699817,163.0,62,624,148,27,10,8,0,0,0,206,0,306,495,182,50,33,15,5,0,366,1
01_TUMOR/tumor (11).tif,1946,861,1085,26.0,96.40301974448316,50.0,136.42672811059907,149.2820276497696,12.855299539170506,133.0,7,178,256,193,141,54,17,15,0,338,0,7,102,320,300,207,66,72,11,433,2343,1053,1290,1.0,28.02849002849003,14.0,52.3077519379845,60.74263565891473,8.434883720930232,190.0,735,245,52,10,4,1,2,4,0,232,296,687,200,42,17,5,16,27,0,342,2220,986,1234,32.0,66.86511156186613,44.0,94.11912479740681,103.23743922204214,9.118314424635333,144.0,0,481,383,91,16,7,2,6,0,283,0,71,667,331,78,34,17,36,0,372,1
01_TUMOR/tumor (110).tif,1566,683,883,22.0,70.90190336749635,40.0,121.10645526613817,134.5719139297848,13.46545866364666,129.0,34,313,185,90,27,14,10,10,0,282,0,41,207,292,158,58,48,70,9,356,1811,811,1000,2.0,27.971639950678174,11.0,59.482,69.865,10.383,176.0,560,207,25,5,8,4,0,2,0,199,195,515,160,41,23,23,15,28,0,274,1753,767,986,29.0,76.29465449804432,46.0,110.81744421906694,120.89858012170386,10.081135902636916,139.0,1,223,395,107,16,11,7,7,0,223,0,19,300,437,106,37,39,48,0,289,1
01_TUMOR/tumor (111).tif,1544,706,838,24.0,89.94617563739376,41.0,133.55608591885442,144.99761336515513,11.441527446300716,184.0,18,309,125,71,70,32,23,58,0,221,0,75,260,110,77,63,70,146,37,323,1937,857,1080,0.0,28.80630105017503,8.0,53.48796296296296,59.989814814814814,6.5018518518518515,220.0,685,79,36,9,3,4,0,41,0,109,667,177,57,32,21,10,18,98,0,193,1665,742,923,22.0,63.59568733153639,27.0,94.56446370530878,102.17226435536294,7.6078006500541715,183.0,55,464,104,51,18,7,7,36,0,150,1,413,199,91,49,29,22,119,0,231,1
01_TUMOR/tumor (112).tif,1815,795,1020,14.0,57.77358490566038,30.0,95.15098039215687,108.02843137254902,12.877450980392156,134.0,94,407,185,98,10,1,0,0,0,300,2,98,365,385,140,20,7,3,0,414,2135,963,1172,0.0,20.721703011422637,10.0,43.82337883959045,53.829351535836174,10.005972696245733,149.0,763,189,8,3,0,0,0,0,0,222,305,695,146,18,4,2,1,1,0,380,1996,888,1108,30.0,69.84234234234235,47.0,97.3240072202166,107.66516245487365,10.34115523465704,115.0,1,317,444,117,8,1,0,0,0,261,0,13,423,552,93,20,4,3,0,367,1
01_TUMOR/tumor (113).tif,1908,807,1101,16.0,137.34200743494424,41.0,178.81017257039056,188.6049046321526,9.794732061762035,114.0,11,106,124,139,74,78,91,184,0,273,0,29,78,132,138,87,147,458,32,347,1837,804,1033,0.0,67.07587064676616,13.0,112.04743465634076,119.74830590513069,7.700871248789932,114.0,369,167,64,40,20,24,60,60,0,191,145,319,68,59,54,52,104,232,0,257,1878,810,1068,17.0,110.51728395061728,45.0,151.00280898876406,159.0374531835206,8.034644194756554,96.0,7,185,246,72,75,40,103,82,0,228,0,35,270,142,75,75,124,347,0,289,1
01_TUMOR/tumor (114).tif,1866,805,1061,15.0,73.66832298136646,27.0,121.49104618284638,135.29971724787936,13.808671065032987,118.0,50,344,180,113,63,45,6,4,0,308,1,74,231,291,189,139,81,46,9,464,2390,1059,1331,0.0,19.30122757318225,9.0,43.9038317054846,52.40946656649136,8.505634861006762,159.0,878,139,27,13,0,0,0,2,0,178,597,485,134,51,34,11,3,16,0,358,2049,862,1187,14.0,55.38863109048724,28.0,86.07076663858467,95.61920808761583,9.548441449031172,125.0,69,508,210,51,20,1,0,3,0,213,1,237,561,223,103,40,4,18,0,375,1
